Rank, Name, Location, Acceptance Rate, In-state Tuition, Out-of-State Tuition, Enrollment-undergrad, Median Income-2 years, Student:Faculty
112,Bentley University,Waltham  MA,46%,45760,45760,4140,62200,12
113,Gettysburg College,Gettysburg  PA,43%,50860,50860,2378,41300,9
114,Florida State University,Tallahassee  FL,58%,6516,21683,29281,35000,24
115,Illinois Wesleyan University,Bloomington  IL,58%,44142,44142,1766,39000,10
116,Yeshiva University,New York  NY,51%,40670,40670,2628,39200,8
117,Wheaton College - Illinois,Wheaton  IL,79%,34050,34050,2400,33300,11
118,Brandeis University,Waltham  MA,33%,51245,51245,3591,40000,10
119,University of California - San Diego,La Jolla  CA,36%,13645,40327,27386,39600,19
120,Trinity University - Texas,San Antonio  TX,41%,41344,41344,2250,43100,8
121,Loyola Marymount University,Los Angeles  CA,54%,44480,44480,6044,43400,10
122,University of Iowa,Iowa City  IA,84%,8973,29755,20868,40300,15
123,University of Delaware,Newark  DE,70%,12830,32250,17761,43900,15
124,Lawrence University,Appleton  WI,63%,44844,44844,1503,28700,9
125,Denison University,Granville  OH,44%,49310,49310,2259,35400,9
126,Babson College,Wellesley  MA,25%,48288,48288,2283,66900,11
127,Occidental College,Los Angeles  CA,46%,51070,51070,1952,34300,10
128,Oberlin College,Oberlin  OH,28%,52002,52002,2869,26400,9
129,Iowa State University,Ames  IA,87%,8219,21583,28872,39100,19
130,George Washington University,Washington  DC,40%,51950,51950,10430,51400,13
131,Rhode Island School of Design,Providence  RI,34%,47110,47110,1999,37200,9
132,College of Wooster,Wooster  OH,58%,46860,46860,1983,31100,11
133,University of Massachusetts - Amherst,Amherst  MA,60%,14971,32204,21460,38800,18
134,Rutgers University,New Brunswick  NJ,57%,14372,30023,34020,42400,15
135,California Polytechnic State University - San Luis Obispo,San Luis Obispo  CA,29%,9075,20235,19703,48600,21
136,University of Dayton,Dayton  OH,60%,40940,40940,7873,42900,15
137,Pepperdine University,Malibu  CA,37%,50022,50022,3222,45300,13
138,Syracuse University,Syracuse  NY,52%,45022,45022,14607,43400,15
139,Wabash College,Crawfordsville  IN,63%,41050,41050,842,40600,9
140,University of Oklahoma,Norman  OK,71%,10881,25203,18444,39800,18
141,Butler University,Indianapolis  IN,73%,38360,38360,4199,42400,11
142,Union College - New York,Schenectady  NY,37%,51696,51696,2132,45000,10
143,University of California - Irvine,Irvine  CA,41%,13360,40042,26889,38500,18
144,Kansas State University,Manhattan  KS,94%,9874,24775,17699,36200,18
145,University of Oregon,Eugene  OR,78%,11571,34611,18330,32900,17
146,Augustana University,Sioux Falls  SD,69%,30454,30454,1574,36200,10
147,Miami University,Oxford  OH,65%,14736,32555,16434,36000,15
148,Sewanee - The University of the South,Sewanee  TN,44%,42400,42400,1718,32800,10
149,Auburn University,Auburn  AL,81%,10696,28840,20396,37500,19
150,American University,Washington  DC,26%,44853,44853,7544,43800,12
